X,Y,fid,thanjavur_dem_250,rainfall_250m,thanjavur_kfactor_250m,soil_moisture_250m,thanjavur_ndvi_250m,sand_thanjavur_250m,lulc_250m,slope_250m,clay_thanjavur_250m,soil_loss_thanjavur
78.7713454831158,10.8183001470163,1,65,0,0.02064,0,0.01272,387,50,89.97913,366,0
78.7804868262647,10.8183660252026,2,66,0,0.02146,0,-0.13369,368,40,87.99133,372,0
78.7896282282868,10.8184316331443,3,64,0,0.02373,7.56784,-0.0684,367,40,89.15643,384,0
78.7987696889401,10.8184969708332,4,61,0,0.02412,7.57283,-0.03716,367,40,88.86546,364,0
78.8079112079827,10.8185620382611,5,60,0,0.02404,7.57782,-0.14017,373,40,86.83707,373,0
78.8170527851725,10.8186268354198,6,64,0,0.02325,7.58281,-0.15926,371,40,85.22062,389,0
78.8261292579909,10.8277289232291,7,52,0,0.02343,8.02087,-0.09241,373,40,83.13911,380,0
78.8261944202676,10.8186913623013,8,63,0,0.02348,7.5878,-0.08354,374,40,87.71654,387,0
78.835271224259,10.8277932347519,9,60,0,0.02238,8.03022,-0.18248,366,40,86.35327,375,0
78.835336113026,10.8187556188973,10,63,0,0.02378,7.67341,-0.27651,385,40,83.87224,371,0
78.8444132479568,10.8278572757501,11,59,0,0.01994,8.04046,-0.05242,362,40,88.40363,367,0
78.8444778632057,10.8188196051998,12,61,0,0.02392,7.76239,-0.08562,380,20,83.43143,381,0
78.8535553288423,10.8279210462158,13,60,131.132,0.01954,8.05068,-0.10685,206,20,89.98799,207,9.79173
78.8536196705648,10.8188833212008,14,60,133.03561,0.02192,7.85025,-0.3376,362,40,87.70951,377,22.41714
78.8536839553501,10.8098455905283,15,59,134.93754,0.01863,7.29548,-0.24996,375,40,89.12234,366,18.07713
78.8537481832062,10.8008078542027,16,61,137.14592,0.02484,6.74199,-0.06014,369,50,82.67446,382,16.44755
78.8538123541415,10.7917701122286,17,70,140.25562,0.02498,6.18979,-0.34317,371,40,89.19183,358,27.07712
78.8538764681642,10.7827323646105,18,68,143.39664,0.02363,5.63888,-0.21718,366,40,87.79594,365,23.71087
